Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,PLUSMINUS
A.J. Price,PHX,28,26,11,15,12.4,2,5.3,37.2,0.6,2.2,26.3,0.6,0.9,66.7,0.2,1,1.2,1.8,0.5,0.3,0,0.6,0,0,5.1,-2.5
Aaron Brooks,CHI,30,82,50,32,23,4.2,10,42.1,1.5,3.8,38.7,1.8,2.1,83.3,0.4,1.6,2,3.2,1.9,0.7,0.2,2.3,1,0,11.6,2.6
Aaron Gordon,ORL,19,47,14,33,17,2,4.4,44.7,0.3,1,27.1,0.9,1.3,72.1,1,2.6,3.6,0.7,0.8,0.4,0.5,1.8,1,0,5.2,-3.5
Adreian Payne,MIN,24,32,7,25,23.1,2.8,6.9,41.4,0,0.3,11.1,0.9,1.4,65.2,1.5,3.6,5.1,0.9,1.4,0.6,0.3,2.8,3,0,6.7,-7.7
Al Horford,ATL,29,76,56,20,30.5,6.8,12.7,53.8,0.1,0.5,30.6,1.4,1.9,75.9,1.7,5.4,7.2,3.2,1.3,0.9,1.3,1.6,14,1,15.2,3.8
Al Jefferson,CHA,30,65,25,40,30.6,7.5,15.5,48.1,0,0.1,40,1.7,2.5,65.5,1.5,6.9,8.4,1.7,1,0.7,1.3,2.1,22,0,16.6,-1.8
Al-Farouq Aminu,DAL,24,74,45,29,18.5,2,4.8,41.2,0.5,1.7,27.4,1.1,1.6,71.2,1.5,3.1,4.6,0.8,0.7,0.9,0.8,1.9,4,0,5.6,1.4
Alan Anderson,BKN,32,74,35,39,23.6,2.6,5.9,44.3,1,2.8,34.8,1.1,1.4,81.2,0.4,2.3,2.8,1.1,0.8,0.8,0.1,2,0,0,7.4,-0.8
Alec Burks,UTA,23,27,9,18,33.3,4.5,11.1,40.3,1,2.5,38.2,3.9,4.8,82.2,0.7,3.5,4.2,3,1.9,0.6,0.2,2.4,2,0,13.9,-4.8
Alex Kirk,CLE,23,5,2,3,2.8,0.2,0.8,25,0,0,0,0.4,0.4,100,0.2,0,0.2,0.2,0,0,0,0.2,0,0,0.8,-2.8
Alex Len,PHX,22,69,35,34,22,2.6,5.1,50.7,0,0,33.3,1.1,1.5,70.2,2.1,4.5,6.6,0.5,1.1,0.5,1.5,3.1,10,0,6.3,-0.4
Alexey Shved,NYK,26,42,10,32,18.3,3.2,8,39.7,1.1,3.3,33.8,2.9,3.6,80.7,0.5,1.8,2.4,2.5,1.1,0.7,0.1,1.1,2,0,10.3,-3.1
Alexis Ajinca,NOP,27,68,41,27,14.1,2.7,4.8,55,0,0,0,1.2,1.5,81.8,1.5,3.1,4.6,0.7,1,0.3,0.8,2.2,5,0,6.5,-0.2
Allen Crabbe,POR,23,51,36,15,13.4,1.2,3,41.2,0.6,1.7,35.3,0.2,0.3,75,0.1,1.3,1.4,0.8,0.3,0.4,0.3,1.5,0,0,3.3,-0.5
Alonzo Gee,POR,28,54,21,33,12.2,1.6,3.4,46.8,0.2,0.6,37.1,1,1.4,70.1,0.7,1.1,1.7,0.5,0.6,0.6,0.1,1.1,0,0,4.5,-1.8
Amar'e Stoudemire,DAL,32,59,19,40,21.1,4.6,8.3,55.7,0,0.1,0,2.3,3.2,72,1.9,3.7,5.6,0.8,1.3,0.5,0.6,2.7,4,0,11.5,-1
Amir Johnson,TOR,28,75,44,31,26.4,4,6.9,57.4,0.3,0.6,41.3,1.1,1.7,61.2,2.1,4,6.1,1.6,1.5,0.6,0.8,3,6,0,9.3,0.8
Anderson Varejao,CLE,32,26,16,10,24.4,4.3,7.7,55.5,0,0.1,0,1.3,1.7,73.3,2.2,4.3,6.5,1.3,1.3,0.7,0.6,2.2,2,0,9.8,0.2
Andre Dawkins,MIA,23,4,2,2,5.4,0.3,1.5,16.7,0.3,1.5,16.7,0,0,0,0,0.5,0.5,0.3,0.3,0,0,0.8,0,0,0.8,-1
Andre Drummond,DET,21,82,32,50,30.5,6,11.7,51.4,0,0,0,1.7,4.5,38.9,5.3,8.1,13.5,0.7,1.5,0.9,1.9,3.5,48,0,13.8,-0.7
Andre Iguodala,GSW,31,77,64,13,26.9,3,6.4,46.6,1,2.8,34.9,0.9,1.5,59.6,0.6,2.8,3.3,3,1.1,1.2,0.3,1.3,0,0,7.8,5.7
Andre Miller,SAC,39,81,44,37,15.5,1.8,3.6,50,0.1,0.4,20.6,0.7,1,75.3,0.5,1.4,1.9,3.5,1.3,0.4,0.1,1.3,1,0,4.4,-1.6
Andre Roberson,OKC,23,67,41,26,19.2,1.4,3,45.8,0.3,1.3,24.7,0.3,0.7,47.9,0.9,2.9,3.8,1,0.7,0.8,0.4,2.1,1,0,3.4,1.5
Andrea Bargnani,NYK,29,29,5,24,27.1,5.7,12.4,45.4,0.5,1.4,36.6,3,3.7,81.3,1.1,3.3,4.4,1.6,1.4,0.1,0.9,1.8,2,0,14.8,-9.3
Andrei Kirilenko,BKN,34,7,3,4,5.2,0,0.7,0,0,0,0,0.4,0.6,75,0.3,0.9,1.1,0.1,0.1,0.1,0,0.1,0,0,0.4,-4
Andrew Bogut,GSW,30,67,58,9,23.6,3,5.3,56.3,0,0,0,0.3,0.6,52.4,2.1,6,8.1,2.7,1.6,0.6,1.7,2.8,6,0,6.3,8
Andrew Nicholson,ORL,25,40,14,26,12.3,2.1,4.8,43.7,0.3,1,31.7,0.4,0.6,60,0.4,1.6,2.1,0.6,0.6,0.2,0.3,1.3,0,0,4.9,-2.1
Andrew Wiggins,MIN,20,82,16,66,36.2,6.1,13.9,43.7,0.5,1.5,31,4.3,5.7,76,1.6,2.9,4.6,2.1,2.2,1,0.6,2.3,2,0,16.9,-6.7
Anthony Bennett,MIN,22,57,12,45,15.7,2.2,5.2,42.1,0.1,0.4,30.4,0.7,1.1,64.1,0.9,2.9,3.8,0.8,0.6,0.5,0.3,1.5,2,0,5.2,-5.2
Anthony Davis,NOP,22,68,39,29,36.1,9.4,17.6,53.5,0,0.2,8.3,5.5,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,42,0,24.4,3.9
Anthony Morrow,OKC,29,74,42,32,24.4,3.9,8.3,46.3,1.9,4.4,43.4,1.1,1.2,88.8,0.5,2.1,2.6,0.8,0.5,0.7,0.1,1.8,2,0,10.7,3.1
Anthony Tolliver,DET,30,76,36,40,18.9,2.1,5.2,41,1.4,3.8,36.6,0.7,0.9,78.3,0.7,2.4,3.1,0.8,0.7,0.3,0.2,1.8,1,0,6.3,1.3
Archie Goodwin,PHX,20,41,16,25,13,1.9,4.9,39.3,0.3,1,29.3,1.5,2,73.5,0.7,1.1,1.8,1.1,1.2,0.4,0.2,1.3,0,0,5.6,-4
Arinze Onuaku,MIN,27,6,0,6,11.4,2,2.3,85.7,0,0,0,0.5,1.3,37.5,1.2,2.3,3.5,0.7,0.3,0.2,0.5,1,0,0,4.5,-3
Aron Baynes,SAS,28,70,49,21,16,2.6,4.7,56.6,0,0.1,25,1.3,1.5,86.5,1.6,3,4.5,0.5,0.9,0.2,0.3,2.3,5,0,6.6,1.9
Arron Afflalo,POR,29,78,35,43,32.1,4.8,11.3,42.4,1.5,4.3,35.4,2.1,2.5,84.3,0.3,2.8,3.2,1.7,1.5,0.5,0.1,2.1,0,0,13.3,-0.3
Austin Daye,ATL,27,34,17,17,10.1,1.5,4.1,35.5,0.7,2.1,33.8,0.1,0.2,83.3,0.3,1.9,2.2,0.5,0.7,0.4,0.1,1.1,2,0,3.8,-1.3
Austin Rivers,LAC,22,76,46,30,20.6,2.7,6.5,40.9,0.5,1.7,29.8,1.1,1.7,67.5,0.4,1.6,2,2,0.9,0.6,0.2,1.9,0,0,7,-1.7
Avery Bradley,BOS,24,77,37,40,31.5,5.6,13.2,42.8,1.6,4.6,35.2,1,1.3,79,0.6,2.5,3.1,1.8,1.4,1.1,0.2,2.3,1,0,13.9,-1.1
Ben Gordon,ORL,32,56,17,39,14.1,2.3,5.3,43.7,0.6,1.7,36.1,1,1.2,83.6,0.1,1,1.1,0.9,1,0.3,0,1.1,0,0,6.2,-2.4
Ben McLemore,SAC,22,82,29,53,32.6,4.4,10.1,43.7,1.7,4.8,35.8,1.6,2,81.3,0.4,2.6,2.9,1.7,1.7,0.9,0.2,2.7,0,0,12.1,-0.4
Beno Udrih,MEM,32,79,55,24,18.9,3.1,6.4,48.7,0.3,1.2,26.8,1.1,1.3,85.3,0.3,1.6,1.8,2.8,1.1,0.6,0.1,1.1,0,0,7.7,-0.1
Bernard James,DAL,30,16,6,10,9.9,0.8,1.7,44.4,0,0,0,1.3,1.4,87,1.1,1.3,2.4,0.3,0.4,0.1,0.9,1.1,0,0,2.8,-0.6
Bismack Biyombo,CHA,22,64,26,38,19.4,1.6,2.9,54.3,0,0,0,1.6,2.7,58.3,2.5,3.9,6.4,0.3,0.8,0.3,1.5,2.2,6,0,4.8,-0.5
Blake Griffin,LAC,26,67,47,20,35.2,8.6,17.1,50.2,0.1,0.4,40,4.6,6.4,72.8,1.9,5.7,7.6,5.3,2.3,0.9,0.5,2.9,18,0,21.9,8.7
Bojan Bogdanovic,BKN,26,78,36,42,23.8,3.3,7.4,45.3,1.2,3.3,35.5,1.1,1.4,82.1,0.6,2.1,2.7,0.9,1,0.4,0.1,1.3,0,0,9,-2.3
Boris Diaw,SAS,33,81,55,26,24.5,3.6,7.8,46,0.7,2.1,32,0.9,1.1,77.4,1,3.3,4.3,2.9,1.6,0.4,0.3,1.8,1,0,8.7,3.6
Bradley Beal,WAS,22,63,37,26,33.5,5.8,13.5,42.7,1.7,4.1,40.9,2.1,2.6,78.3,0.9,2.9,3.8,3.1,2,1.2,0.3,2.2,2,0,15.3,3.1
Brandan Wright,PHX,27,75,37,38,19.3,3.1,4.8,64.2,0,0,0,1,1.5,69.6,1.7,2.6,4.3,0.5,0.5,0.7,1.3,1.4,3,0,7.3,-0.2
Brandon Bass,BOS,30,82,40,42,23.5,4.2,8.3,50.4,0.1,0.4,28.1,2.1,2.6,79,1.7,3.2,4.9,1.3,1,0.5,0.4,1.7,5,0,10.6,-2.2
Brandon Davies,BKN,23,27,6,21,15.7,2,5.1,40.1,0.3,1.3,23.5,0.9,1.4,64.9,1.4,1.7,3.1,1.1,1.1,0.7,0.3,2.2,0,0,5.3,-6
Brandon Jennings,DET,25,41,17,24,28.6,5.3,13.2,40.1,1.9,5.1,36,2.9,3.5,83.9,0.5,2,2.5,6.6,2.2,1.1,0.1,1.6,5,0,15.4,0.8
Brandon Knight,PHX,23,63,33,30,32.3,6,14.1,42.2,2,5.1,38.9,3.1,3.5,87.4,0.4,3.4,3.9,5.2,3,1.4,0.2,1.8,2,0,17,-1.3
Brandon Rush,GSW,29,33,27,6,8.2,0.3,1.6,20.4,0.1,0.8,11.1,0.2,0.3,45.5,0.1,1.1,1.2,0.4,0.3,0.2,0.4,0.8,0,0,0.9,-3.8
Brendan Haywood,CLE,35,22,14,8,5.4,0.6,1.4,46.7,0,0,0,0.3,0.6,53.8,0.3,1,1.3,0.1,0.5,0.1,0.5,0.8,0,0,1.6,-2.3
Brian Roberts,CHA,29,72,30,42,18.5,2.4,6.3,38.9,0.9,2.7,32.1,0.9,1,89.2,0.2,1.3,1.5,2.3,0.8,0.5,0.1,1,0,0,6.7,-1.2
Brook Lopez,BKN,27,72,34,38,29.2,7,13.7,51.3,0,0.1,10,3.1,3.8,81.4,3,4.5,7.4,0.7,1.4,0.6,1.8,2.9,17,0,17.2,-1.4
Bruno Caboclo,TOR,19,8,7,1,2.9,0.5,1.5,33.3,0.3,0.4,66.7,0,0,0,0.1,0.1,0.3,0,0.5,0,0.1,0.4,0,0,1.3,-3.4
Bryce Cotton,UTA,22,15,9,6,10.6,1.9,4.6,42,0.5,1.3,35,1,1.2,83.3,0.2,1,1.2,1,0.8,0.3,0,0.4,0,0,5.3,0.1
CJ McCollum,POR,23,62,37,25,15.7,2.6,5.9,43.6,0.9,2.2,39.6,0.8,1.2,69.9,0.2,1.2,1.5,1,0.8,0.7,0.1,1.3,0,0,6.8,1.9
CJ Miles,IND,28,70,31,39,26.3,4.7,11.8,39.8,2.2,6.4,34.5,1.9,2.3,80.7,0.3,2.8,3.1,1.1,1,0.9,0.4,1.9,1,0,13.5,2.3
CJ Watson,IND,31,57,25,32,24.9,3.2,7.3,43.4,1.2,3.1,40,2.4,2.9,82.6,0.3,2.5,2.9,3.6,1.8,1,0.2,1.9,0,0,10,0.1
CJ Wilcox,LAC,24,21,15,6,4.8,0.8,1.8,42.1,0.3,0.9,36.8,0.1,0.1,100,0,0.3,0.3,0.4,0.5,0.1,0,0.3,0,0,2,-0.9
Cameron Bairstow,CHI,24,18,12,6,3.5,0.2,0.8,21.4,0,0,0,0.2,0.3,80,0.3,0.1,0.4,0.1,0.2,0.1,0.1,0.4,0,0,0.6,-1.1
Carl Landry,SAC,31,70,26,44,17,2.7,5.3,51.5,0,0,0,1.8,2.1,82,1.4,2.4,3.8,0.4,0.8,0.2,0.2,1.9,3,0,7.2,-3.1
Carlos Boozer,LAL,33,71,18,53,23.8,5.2,10.5,49.9,0,0,0,1.3,2.1,62.7,1.6,5.2,6.8,1.3,1.3,0.6,0.2,2.6,10,0,11.8,-4.5
Carmelo Anthony,NYK,31,40,10,30,35.7,9,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,1.8,4.8,6.6,3.1,2.2,1,0.4,2.2,5,0,24.2,-2.7
